prefix,first_revision,last_revision,first_effective_date,removed_at,end_effective_date
10084000,rev_29,2026_rev_9,2025-11-13,NA,NA
10086000,rev_29,2026_rev_9,2025-11-13,NA,NA
11062090,rev_29,2026_rev_9,2025-11-13,NA,NA
11063020,rev_29,2026_rev_9,2025-11-13,NA,NA
11081400,rev_29,2026_rev_9,2025-11-13,NA,NA
11081900,rev_29,2026_rev_9,2025-11-13,NA,NA
12030000,rev_29,2026_rev_9,2025-11-13,NA,NA
12079100,rev_29,2026_rev_9,2025-11-13,NA,NA
15131100,rev_29,2026_rev_9,2025-11-13,NA,NA
15131900,rev_29,2026_rev_9,2025-11-13,NA,NA
15211000,rev_29,2026_rev_9,2025-11-13,NA,NA
15219020,rev_29,2026_rev_9,2025-11-13,NA,NA
16025005,rev_29,2026_rev_9,2025-11-13,NA,NA
16025007,rev_29,2026_rev_9,2025-11-13,NA,NA
16025008,rev_29,2026_rev_9,2025-11-13,NA,NA
16025021,rev_29,2026_rev_9,2025-11-13,NA,NA
16025060,rev_29,2026_rev_9,2025-11-13,NA,NA
16025090,rev_29,2026_rev_9,2025-11-13,NA,NA
18010000,rev_29,2026_rev_9,2025-11-13,NA,NA
18020000,rev_29,2026_rev_9,2025-11-13,NA,NA
18031000,rev_29,2026_rev_9,2025-11-13,NA,NA
18032000,rev_29,2026_rev_9,2025-11-13,NA,NA
18040000,rev_29,2026_rev_9,2025-11-13,NA,NA
18050000,rev_29,2026_rev_9,2025-11-13,NA,NA
19030020,rev_29,2026_rev_9,2025-11-13,NA,NA
19030040,rev_29,2026_rev_9,2025-11-13,NA,NA
20019045,rev_29,2026_rev_9,2025-11-13,NA,NA
20059160,rev_29,2026_rev_9,2025-11-13,NA,NA
20060040,rev_29,2026_rev_9,2025-11-13,NA,NA
20079940,rev_29,2026_rev_9,2025-11-13,NA,NA
20079950,rev_29,2026_rev_9,2025-11-13,NA,NA
20081915,rev_29,2026_rev_9,2025-11-13,NA,NA
20082000,rev_29,2026_rev_9,2025-11-13,NA,NA
20089100,rev_29,2026_rev_9,2025-11-13,NA,NA
20089913,rev_29,2026_rev_9,2025-11-13,NA,NA
20089915,rev_29,2026_rev_9,2025-11-13,NA,NA
20089940,rev_29,2026_rev_9,2025-11-13,NA,NA
20089945,rev_29,2026_rev_9,2025-11-13,NA,NA
20089991,rev_29,2026_rev_9,2025-11-13,NA,NA
20091100,rev_29,2026_rev_9,2025-11-13,NA,NA
20091225,rev_29,2026_rev_9,2025-11-13,NA,NA
20091245,rev_29,2026_rev_9,2025-11-13,NA,NA
20091900,rev_29,2026_rev_9,2025-11-13,NA,NA
20093920,rev_29,2026_rev_9,2025-11-13,NA,NA
20094940,rev_29,2026_rev_9,2025-11-13,NA,NA
21011129,rev_29,2026_rev_9,2025-11-13,NA,NA
21011290,rev_29,2026_rev_9,2025-11-13,NA,NA
21012020,rev_29,2026_rev_9,2025-11-13,NA,NA
21069048,rev_29,2026_rev_9,2025-11-13,NA,NA
22029930,rev_29,2026_rev_9,2025-11-13,NA,NA
22029935,rev_29,2026_rev_9,2025-11-13,NA,NA
25041010,rev_22,2026_rev_9,2025-09-08,NA,NA
25041050,rev_7,2026_rev_9,NA,NA,NA
25049000,rev_7,2026_rev_9,NA,NA,NA
25101000,rev_7,2026_rev_9,NA,NA,NA
25102000,rev_7,2026_rev_9,NA,NA,NA
25111010,rev_7,2026_rev_9,NA,NA,NA
25111050,rev_7,2026_rev_9,NA,NA,NA
25191000,rev_7,2026_rev_9,NA,NA,NA
25199010,rev_7,2026_rev_9,NA,NA,NA
25199020,rev_7,2026_rev_9,NA,NA,NA
25249000,rev_7,2026_rev_9,NA,NA,NA
25292100,rev_7,2026_rev_9,NA,NA,NA
25292200,rev_7,2026_rev_9,NA,NA,NA
25302010,rev_7,2026_rev_9,NA,NA,NA
25302020,rev_7,2026_rev_9,NA,NA,NA
25309010,rev_7,2026_rev_9,NA,NA,NA
25309020,rev_7,2026_rev_9,NA,NA,NA
25309080,rev_7,2026_rev_9,NA,NA,NA
26020000,rev_7,2026_rev_9,NA,NA,NA
26030000,rev_7,2026_rev_9,NA,NA,NA
26040000,rev_22,2026_rev_9,2025-09-08,NA,NA
26050000,rev_7,2026_rev_9,NA,NA,NA
26060000,rev_7,2026_rev_9,NA,NA,NA
26080000,rev_7,2026_rev_9,NA,NA,NA
26090000,rev_22,2026_rev_9,2025-09-08,NA,NA
26100000,rev_7,2026_rev_9,NA,NA,NA
26110030,rev_7,2026_rev_9,NA,NA,NA
26110060,rev_7,2026_rev_9,NA,NA,NA
26121000,rev_7,2026_rev_9,NA,NA,NA
26122000,rev_22,2026_rev_9,2025-09-08,NA,NA
26139000,rev_22,2026_rev_9,2025-09-08,NA,NA
26140030,rev_7,2026_rev_9,NA,NA,NA
26140060,rev_7,2026_rev_9,NA,NA,NA
26159030,rev_7,2026_rev_9,NA,NA,NA
26159060,rev_7,2026_rev_9,NA,NA,NA
26161000,rev_7,2026_rev_9,NA,NA,NA
26171000,rev_7,2026_rev_9,NA,NA,NA
26203000,rev_7,2026_rev_9,NA,NA,NA
26209950,rev_7,2026_rev_9,NA,NA,NA
27011100,rev_7,2026_rev_9,NA,NA,NA
27011200,rev_7,2026_rev_9,NA,NA,NA
27011900,rev_7,2026_rev_9,NA,NA,NA
27012000,rev_7,2026_rev_9,NA,NA,NA
27021000,rev_7,2026_rev_9,NA,NA,NA
27022000,rev_7,2026_rev_9,NA,NA,NA
27030000,rev_7,2026_rev_9,NA,NA,NA
27040000,rev_7,2026_rev_9,NA,NA,NA
27050000,rev_7,2026_rev_9,NA,NA,NA
27060000,rev_7,2026_rev_9,NA,NA,NA
27071000,rev_7,2026_rev_9,NA,NA,NA
27072000,rev_7,2026_rev_9,NA,NA,NA
27073000,rev_7,2026_rev_9,NA,NA,NA
27074000,rev_7,2026_rev_9,NA,NA,NA
27075000,rev_7,2026_rev_9,NA,NA,NA
27079100,rev_7,2026_rev_9,NA,NA,NA
27079910,rev_7,2026_rev_9,NA,NA,NA
27079920,rev_7,2026_rev_9,NA,NA,NA
27079940,rev_7,2026_rev_9,NA,NA,NA
27079951,rev_7,2026_rev_9,NA,NA,NA
27079955,rev_7,2026_rev_9,NA,NA,NA
27079959,rev_7,2026_rev_9,NA,NA,NA
27079990,rev_7,2026_rev_9,NA,NA,NA
27081000,rev_7,2026_rev_9,NA,NA,NA
27082000,rev_7,2026_rev_9,NA,NA,NA
27090010,rev_7,2026_rev_9,NA,NA,NA
27090020,rev_7,2026_rev_9,NA,NA,NA
27101215,rev_7,2026_rev_9,NA,NA,NA
27101218,rev_7,2026_rev_9,NA,NA,NA
27101225,rev_7,2026_rev_9,NA,NA,NA
27101245,rev_7,2026_rev_9,NA,NA,NA
27101290,rev_7,2026_rev_9,NA,NA,NA
27101906,rev_7,2026_rev_9,NA,NA,NA
27101911,rev_7,2026_rev_9,NA,NA,NA
27101916,rev_7,2026_rev_9,NA,NA,NA
27101924,rev_7,2026_rev_9,NA,NA,NA
27101925,rev_7,2026_rev_9,NA,NA,NA
27101926,rev_7,2026_rev_9,NA,NA,NA
27101930,rev_7,2026_rev_9,NA,NA,NA
27101935,rev_7,2026_rev_9,NA,NA,NA
27101940,rev_7,2026_rev_9,NA,NA,NA
27101945,rev_7,2026_rev_9,NA,NA,NA
27101990,rev_7,2026_rev_9,NA,NA,NA
27102005,rev_7,2026_rev_9,NA,NA,NA
27102010,rev_7,2026_rev_9,NA,NA,NA
27102015,rev_7,2026_rev_9,NA,NA,NA
27102025,rev_7,2026_rev_9,NA,NA,NA
27109100,rev_7,2026_rev_9,NA,NA,NA
27109905,rev_7,2026_rev_9,NA,NA,NA
27109910,rev_7,2026_rev_9,NA,NA,NA
27109916,rev_7,2026_rev_9,NA,NA,NA
27109921,rev_7,2026_rev_9,NA,NA,NA
27109931,rev_7,2026_rev_9,NA,NA,NA
27109932,rev_7,2026_rev_9,NA,NA,NA
27109939,rev_7,2026_rev_9,NA,NA,NA
27109945,rev_7,2026_rev_9,NA,NA,NA
27109990,rev_7,2026_rev_9,NA,NA,NA
27111100,rev_7,2026_rev_9,NA,NA,NA
27111200,rev_7,2026_rev_9,NA,NA,NA
27111300,rev_7,2026_rev_9,NA,NA,NA
27111400,rev_7,2026_rev_9,NA,NA,NA
27111900,rev_7,2026_rev_9,NA,NA,NA
27112100,rev_7,2026_rev_9,NA,NA,NA
27112900,rev_7,2026_rev_9,NA,NA,NA
27121000,rev_7,2026_rev_9,NA,NA,NA
27122000,rev_7,2026_rev_9,NA,NA,NA
27129010,rev_7,2026_rev_9,NA,NA,NA
27129020,rev_7,2026_rev_9,NA,NA,NA
27131100,rev_7,2026_rev_9,NA,NA,NA
27131200,rev_7,2026_rev_9,NA,NA,NA
27132000,rev_7,2026_rev_9,NA,NA,NA
27139000,rev_7,2026_rev_9,NA,NA,NA
27141000,rev_7,2026_rev_9,NA,NA,NA
27149000,rev_7,2026_rev_9,NA,NA,NA
27150000,rev_7,2026_rev_9,NA,NA,NA
