hts8,category,country_group,ch99_code,effective_date_start
28151100,pharma,eu,9903.02.77,2025-09-25
28151100,pharma,swiss,9903.02.86,2026-01-01
28151200,pharma,eu,9903.02.77,2025-09-25
28151200,pharma,swiss,9903.02.86,2026-01-01
28152000,pharma,eu,9903.02.77,2025-09-25
28152000,pharma,swiss,9903.02.86,2026-01-01
28153000,pharma,eu,9903.02.77,2025-09-25
28153000,pharma,swiss,9903.02.86,2026-01-01
28161000,ptaap,eu,9903.02.74,2025-09-25
28161000,ptaap,swiss,9903.02.84,2026-01-01
28164010,ptaap,eu,9903.02.74,2025-09-25
28164010,ptaap,swiss,9903.02.84,2026-01-01
28164020,ptaap,eu,9903.02.74,2025-09-25
28164020,ptaap,swiss,9903.02.84,2026-01-01
28170000,ptaap,eu,9903.02.74,2025-09-25
28170000,ptaap,swiss,9903.02.84,2026-01-01
28181010,ptaap,eu,9903.02.74,2025-09-25
28181010,ptaap,swiss,9903.02.84,2026-01-01
28181020,ptaap,eu,9903.02.74,2025-09-25
28181020,ptaap,swiss,9903.02.84,2026-01-01
28182000,ptaap,eu,9903.02.74,2025-09-25
28182000,ptaap,swiss,9903.02.84,2026-01-01
28201000,ptaap,eu,9903.02.74,2025-09-25
28201000,ptaap,swiss,9903.02.84,2026-01-01
28211000,ptaap,eu,9903.02.74,2025-09-25
28211000,ptaap,swiss,9903.02.84,2026-01-01
28212000,ptaap,eu,9903.02.74,2025-09-25
28212000,ptaap,swiss,9903.02.84,2026-01-01
28220000,ptaap,eu,9903.02.74,2025-09-25
28220000,ptaap,swiss,9903.02.84,2026-01-01
28230000,ptaap,eu,9903.02.74,2025-09-25
28230000,ptaap,swiss,9903.02.84,2026-01-01
28251000,pharma,eu,9903.02.77,2025-09-25
28251000,pharma,swiss,9903.02.86,2026-01-01
28252000,pharma,eu,9903.02.77,2025-09-25
28252000,pharma,swiss,9903.02.86,2026-01-01
28254000,ptaap,eu,9903.02.74,2025-09-25
28254000,ptaap,swiss,9903.02.84,2026-01-01
28256000,ptaap,eu,9903.02.74,2025-09-25
28256000,ptaap,swiss,9903.02.84,2026-01-01
28258000,ptaap,eu,9903.02.74,2025-09-25
28258000,ptaap,swiss,9903.02.84,2026-01-01
28259015,ptaap,eu,9903.02.74,2025-09-25
28259015,ptaap,swiss,9903.02.84,2026-01-01
28259030,ptaap,eu,9903.02.74,2025-09-25
28259030,ptaap,swiss,9903.02.84,2026-01-01
28259090,ptaap,eu,9903.02.74,2025-09-25
28259090,ptaap,swiss,9903.02.84,2026-01-01
28261200,ptaap,eu,9903.02.74,2025-09-25
28261200,ptaap,swiss,9903.02.84,2026-01-01
28263000,ptaap,eu,9903.02.74,2025-09-25
28263000,ptaap,swiss,9903.02.84,2026-01-01
28269090,ptaap,eu,9903.02.74,2025-09-25
28269090,ptaap,swiss,9903.02.84,2026-01-01
28273100,ptaap,eu,9903.02.74,2025-09-25
28273100,ptaap,swiss,9903.02.84,2026-01-01
28273945,ptaap,eu,9903.02.74,2025-09-25
28273945,ptaap,swiss,9903.02.84,2026-01-01
28273960,ptaap,eu,9903.02.74,2025-09-25
28273960,ptaap,swiss,9903.02.84,2026-01-01
28273965,pharma,eu,9903.02.77,2025-09-25
28273965,pharma,swiss,9903.02.86,2026-01-01
28273990,pharma,eu,9903.02.77,2025-09-25
28273990,pharma,swiss,9903.02.86,2026-01-01
28275951,ptaap,eu,9903.02.74,2025-09-25
28275951,ptaap,swiss,9903.02.84,2026-01-01
28276020,pharma,eu,9903.02.77,2025-09-25
28276020,pharma,swiss,9903.02.86,2026-01-01
28276051,pharma,eu,9903.02.77,2025-09-25
28276051,pharma,swiss,9903.02.86,2026-01-01
28321000,pharma,eu,9903.02.77,2025-09-25
28321000,pharma,swiss,9903.02.86,2026-01-01
28323010,pharma,eu,9903.02.77,2025-09-25
28323010,pharma,swiss,9903.02.86,2026-01-01
28331150,pharma,eu,9903.02.77,2025-09-25
28331150,pharma,swiss,9903.02.86,2026-01-01
28331900,pharma,eu,9903.02.77,2025-09-25
28331900,pharma,swiss,9903.02.86,2026-01-01
28332100,pharma,eu,9903.02.77,2025-09-25
28332100,pharma,swiss,9903.02.86,2026-01-01
28332200,pharma,eu,9903.02.77,2025-09-25
28332200,pharma,swiss,9903.02.86,2026-01-01
28332400,ptaap,eu,9903.02.74,2025-09-25
28332400,ptaap,swiss,9903.02.84,2026-01-01
28332700,ptaap,eu,9903.02.74,2025-09-25
28332700,ptaap,swiss,9903.02.84,2026-01-01
28332910,ptaap,eu,9903.02.74,2025-09-25
28332910,ptaap,swiss,9903.02.84,2026-01-01
28332945,ptaap,eu,9903.02.74,2025-09-25
28332945,ptaap,swiss,9903.02.84,2026-01-01
28332951,ptaap,eu,9903.02.74,2025-09-25
28332951,ptaap,swiss,9903.02.84,2026-01-01
28341010,pharma,eu,9903.02.77,2025-09-25
28341010,pharma,swiss,9903.02.86,2026-01-01
28342100,ptaap,eu,9903.02.74,2025-09-25
28342100,ptaap,swiss,9903.02.84,2026-01-01
28342920,ptaap,eu,9903.02.74,2025-09-25
28342920,ptaap,swiss,9903.02.84,2026-01-01
28342951,ptaap,eu,9903.02.74,2025-09-25
28342951,ptaap,swiss,9903.02.84,2026-01-01
28352200,pharma,eu,9903.02.77,2025-09-25
28352200,pharma,swiss,9903.02.86,2026-01-01
28352400,pharma,eu,9903.02.77,2025-09-25
28352400,pharma,swiss,9903.02.86,2026-01-01
28362000,pharma,eu,9903.02.77,2025-09-25
28362000,pharma,swiss,9903.02.86,2026-01-01
28363000,pharma,eu,9903.02.77,2025-09-25
28363000,pharma,swiss,9903.02.86,2026-01-01
28364020,pharma,eu,9903.02.77,2025-09-25
28364020,pharma,swiss,9903.02.86,2026-01-01
28366000,ptaap,eu,9903.02.74,2025-09-25
28366000,ptaap,swiss,9903.02.84,2026-01-01
28369100,ptaap,eu,9903.02.74,2025-09-25
28369100,ptaap,swiss,9903.02.84,2026-01-01
28369200,ptaap,eu,9903.02.74,2025-09-25
28369200,ptaap,swiss,9903.02.84,2026-01-01
28369910,ptaap,eu,9903.02.74,2025-09-25
28369910,ptaap,swiss,9903.02.84,2026-01-01
28369950,ptaap,eu,9903.02.74,2025-09-25
28369950,ptaap,swiss,9903.02.84,2026-01-01
28372051,pharma,eu,9903.02.77,2025-09-25
28372051,pharma,swiss,9903.02.86,2026-01-01
28418000,ptaap,eu,9903.02.74,2025-09-25
28418000,ptaap,swiss,9903.02.84,2026-01-01
28419020,ptaap,eu,9903.02.74,2025-09-25
28419020,ptaap,swiss,9903.02.84,2026-01-01
28419040,pharma,eu,9903.02.77,2025-09-25
28419040,pharma,swiss,9903.02.86,2026-01-01
28421000,pharma,eu,9903.02.77,2025-09-25
28421000,pharma,swiss,9903.02.86,2026-01-01
28429090,pharma,eu,9903.02.77,2025-09-25
28429090,pharma,swiss,9903.02.86,2026-01-01
28432901,pharma,eu,9903.02.77,2025-09-25
28432901,pharma,swiss,9903.02.86,2026-01-01
28433000,pharma,eu,9903.02.77,2025-09-25
28433000,pharma,swiss,9903.02.86,2026-01-01
28439000,pharma,eu,9903.02.77,2025-09-25
28439000,pharma,swiss,9903.02.86,2026-01-01
28444100,pharma,eu,9903.02.77,2025-09-25
28444100,pharma,swiss,9903.02.86,2026-01-01
28444200,pharma,eu,9903.02.77,2025-09-25
28444200,pharma,swiss,9903.02.86,2026-01-01
28444300,pharma,eu,9903.02.77,2025-09-25
28444300,pharma,swiss,9903.02.86,2026-01-01
28444400,pharma,eu,9903.02.77,2025-09-25
28444400,pharma,swiss,9903.02.86,2026-01-01
28452000,pharma,eu,9903.02.77,2025-09-25
28452000,pharma,swiss,9903.02.86,2026-01-01
28453000,pharma,eu,9903.02.77,2025-09-25
28453000,pharma,swiss,9903.02.86,2026-01-01
28459001,pharma,eu,9903.02.77,2025-09-25
28459001,pharma,swiss,9903.02.86,2026-01-01
28461000,ptaap,eu,9903.02.74,2025-09-25
28461000,ptaap,swiss,9903.02.84,2026-01-01
28469020,pharma,eu,9903.02.77,2025-09-25
28469020,pharma,swiss,9903.02.86,2026-01-01
28469040,pharma,eu,9903.02.77,2025-09-25
28469040,pharma,swiss,9903.02.86,2026-01-01
28469080,ptaap,eu,9903.02.74,2025-09-25
28469080,ptaap,swiss,9903.02.84,2026-01-01
28470000,pharma,eu,9903.02.77,2025-09-25
28470000,pharma,swiss,9903.02.86,2026-01-01
28492010,ptaap,eu,9903.02.74,2025-09-25
28492010,ptaap,swiss,9903.02.84,2026-01-01
28492020,ptaap,eu,9903.02.74,2025-09-25
28492020,ptaap,swiss,9903.02.84,2026-01-01
28499030,ptaap,eu,9903.02.74,2025-09-25
28499030,ptaap,swiss,9903.02.84,2026-01-01
28500050,pharma,eu,9903.02.77,2025-09-25
28500050,pharma,swiss,9903.02.86,2026-01-01
28531000,pharma,eu,9903.02.77,2025-09-25
28531000,pharma,swiss,9903.02.86,2026-01-01
28539010,pharma,eu,9903.02.77,2025-09-25
28539010,pharma,swiss,9903.02.86,2026-01-01
28539050,pharma,eu,9903.02.77,2025-09-25
28539050,pharma,swiss,9903.02.86,2026-01-01
28539090,pharma,eu,9903.02.77,2025-09-25
28539090,pharma,swiss,9903.02.86,2026-01-01
29011040,pharma,eu,9903.02.77,2025-09-25
29011040,pharma,swiss,9903.02.86,2026-01-01
29021900,pharma,eu,9903.02.77,2025-09-25
29021900,pharma,swiss,9903.02.86,2026-01-01
29029030,pharma,eu,9903.02.77,2025-09-25
29029030,pharma,swiss,9903.02.86,2026-01-01
29031200,pharma,eu,9903.02.77,2025-09-25
29031200,pharma,swiss,9903.02.86,2026-01-01
29031300,pharma,eu,9903.02.77,2025-09-25
29031300,pharma,swiss,9903.02.86,2026-01-01
