hts10,effective_date_start,effective_date_end
0902300000,2025-11-13,NA
0902300015,2025-11-13,NA
0902300050,2025-11-13,NA
0902300090,2025-11-13,NA
0902400000,2025-11-13,NA
0903000000,2025-11-13,NA
0904110000,2025-11-13,NA
0904110020,2025-11-13,NA
0904110040,2025-11-13,NA
0904120000,2025-11-13,NA
0904212000,2025-11-13,NA
0904214000,2025-11-13,NA
0904216000,2025-11-13,NA
0904216010,2025-11-13,NA
0904216020,2025-11-13,NA
0904216090,2025-11-13,NA
0904218000,2025-11-13,NA
0904222000,2025-11-13,NA
0904224000,2025-11-13,NA
0904227300,2025-11-13,NA
0904227600,2025-11-13,NA
0904228000,2025-11-13,NA
0905100000,2025-11-13,NA
0905200000,2025-11-13,NA
0906110000,2025-11-13,NA
0906190000,2025-11-13,NA
0906200000,2025-11-13,NA
0907100000,2025-11-13,NA
0907200000,2025-11-13,NA
0908110000,2025-11-13,NA
0908120000,2025-11-13,NA
0908210000,2025-11-13,NA
0908222000,2025-11-13,NA
0908224000,2025-11-13,NA
0908310000,2025-11-13,NA
0908320000,2025-11-13,NA
0909210000,2025-11-13,NA
0909220000,2025-11-13,NA
0909310000,2025-11-13,NA
0909320000,2025-11-13,NA
0909610000,2025-11-13,NA
0909620000,2025-11-13,NA
0910110000,2025-11-13,NA
0910110010,2025-11-13,NA
0910110015,2025-11-13,NA
0910120000,2025-11-13,NA
0910200000,2025-11-13,NA
0910300000,2025-11-13,NA
0910910000,2025-11-13,NA
0910990700,2025-11-13,NA
0910991000,2025-11-13,NA
0910992000,2025-11-13,NA
0910994000,2025-11-13,NA
0910995000,2025-11-13,NA
0910996000,2025-11-13,NA
1003904000,2025-11-13,NA
1003904020,2025-11-13,NA
1003904030,2025-11-13,NA
1008300000,2025-11-13,NA
1008400000,2025-11-13,NA
1008600000,2025-11-13,NA
1106209000,2025-11-13,NA
1106302000,2025-11-13,NA
1108140000,2025-11-13,NA
1108190000,2025-11-13,NA
1108190010,2025-11-13,NA
1108190090,2025-11-13,NA
1203000000,2025-11-13,NA
1207910000,2025-11-13,NA
1404909000,NA,NA
1404909020,NA,NA
1404909040,NA,NA
1404909090,NA,NA
1513110000,2025-11-13,NA
1513190000,2025-11-13,NA
1513190030,2025-11-13,NA
1513190090,2025-11-13,NA
1521100000,2025-11-13,NA
1521100020,2025-11-13,NA
1521100040,2025-11-13,NA
1521100060,2025-11-13,NA
1521902000,2025-11-13,NA
1602500500,2025-11-13,NA
1602500700,2025-11-13,NA
1602500720,2025-11-13,NA
1602500740,2025-11-13,NA
1602500800,2025-11-13,NA
1602502100,2025-11-13,NA
1602502120,2025-11-13,NA
