hts10,coverage_share,n_months,imports_usd,source
8436990090,0.992103316227714,6,10037999,calibration_2026-06-11_stable_window_2025-09_2026-03
6505008015,0.5950666152680627,6,9853890,calibration_2026-06-11_stable_window_2025-09_2026-03
0304835015,1,6,9822757,calibration_2026-06-11_stable_window_2025-09_2026-03
9025198020,0.4793869967619538,6,9538556,calibration_2026-06-11_stable_window_2025-09_2026-03
9015808080,0.8816293718751956,6,9395350,calibration_2026-06-11_stable_window_2025-09_2026-03
0304835020,1,6,9332411,calibration_2026-06-11_stable_window_2025-09_2026-03
3913100000,0.8531942746504607,7,9078579,calibration_2026-06-11_stable_window_2025-09_2026-03
8504907500,0,6,8845479,calibration_2026-06-11_stable_window_2025-09_2026-03
8716400000,0.10091940335148566,6,8238348,calibration_2026-06-11_stable_window_2025-09_2026-03
8501106080,0.2856269493276345,6,7513408,calibration_2026-06-11_stable_window_2025-09_2026-03
0505100050,1,7,7091720,calibration_2026-06-11_stable_window_2025-09_2026-03
0505100055,0.9528250131215232,7,6565579,calibration_2026-06-11_stable_window_2025-09_2026-03
8452100090,0.819724553815307,7,6547230,calibration_2026-06-11_stable_window_2025-09_2026-03
8711100000,0.6361282242059921,6,6251061,calibration_2026-06-11_stable_window_2025-09_2026-03
8501404020,0.4989726174300476,6,6057237,calibration_2026-06-11_stable_window_2025-09_2026-03
9018199550,0.534163912128834,6,5913532,calibration_2026-06-11_stable_window_2025-09_2026-03
9025198010,0.4839123508361397,6,5807719,calibration_2026-06-11_stable_window_2025-09_2026-03
8407909010,0.5395474329134362,6,5624224,calibration_2026-06-11_stable_window_2025-09_2026-03
9022140000,0.07841731280649786,6,5448032,calibration_2026-06-11_stable_window_2025-09_2026-03
8524119000,0.6261981023683849,7,5215844,calibration_2026-06-11_stable_window_2025-09_2026-03
8436800090,0.11607736351631692,6,5058959,calibration_2026-06-11_stable_window_2025-09_2026-03
3815110000,0.4123379512541184,6,4343142,calibration_2026-06-11_stable_window_2025-09_2026-03
9022904000,0.7942087929786359,6,4110580,calibration_2026-06-11_stable_window_2025-09_2026-03
9018119000,0,6,3437355,calibration_2026-06-11_stable_window_2025-09_2026-03
3919905040,0.04585468609253105,6,2935762,calibration_2026-06-11_stable_window_2025-09_2026-03
8420999000,0.6422569294721547,6,2810748,calibration_2026-06-11_stable_window_2025-09_2026-03
2805110000,0.707464930748439,6,2519107,calibration_2026-06-11_stable_window_2025-09_2026-03
9030904600,0.41353904594493623,6,2466696,calibration_2026-06-11_stable_window_2025-09_2026-03
6302319040,0.581605385530595,7,2361474,calibration_2026-06-11_stable_window_2025-09_2026-03
3808945010,0.6597043019314688,6,2303635,calibration_2026-06-11_stable_window_2025-09_2026-03
8607211000,0.7461534487374638,6,2224456,calibration_2026-06-11_stable_window_2025-09_2026-03
6001102000,0.33533043949812347,6,2037271,calibration_2026-06-11_stable_window_2025-09_2026-03
5007200065,0.09151378501987492,6,1866056,calibration_2026-06-11_stable_window_2025-09_2026-03
9022120000,0.01684832302834415,6,1509024,calibration_2026-06-11_stable_window_2025-09_2026-03
5007200085,0.8054467041389881,6,782800,calibration_2026-06-11_stable_window_2025-09_2026-03
0304831015,1,5,717542,calibration_2026-06-11_stable_window_2025-09_2026-03
9401911500,0.41972086042003265,7,538065,calibration_2026-06-11_stable_window_2025-09_2026-03
9403995005,0.5696053164383229,6,537775,calibration_2026-06-11_stable_window_2025-09_2026-03
1605102090,0.47880886002190143,5,530864,calibration_2026-06-11_stable_window_2025-09_2026-03
0304831020,1,6,495498,calibration_2026-06-11_stable_window_2025-09_2026-03
0304835090,0.9557574628024726,6,298935,calibration_2026-06-11_stable_window_2025-09_2026-03
2917125000,0.04521580443523887,5,120068,calibration_2026-06-11_stable_window_2025-09_2026-03
1605102022,0.00867329200305161,3,96067,calibration_2026-06-11_stable_window_2025-09_2026-03
8486200000,0.1826134126735028,6,80576010,calibration_2026-06-11_stable_window_2025-09_2026-03
8486400030,0.2819570079338752,6,24128988,calibration_2026-06-11_stable_window_2025-09_2026-03
8486100000,0.32071479176487466,6,3501438,calibration_2026-06-11_stable_window_2025-09_2026-03
