ch99_code,hts10,n_months,imports_usd,realized_vw,stat_other_vw,full_301_vw,claim_share_raw_vw,claim_share
9903.88.69,8413919085,6,45361076,0.38751444079501113,0.1402548466203168,0.25,0.010961623301222731,0.010961623301222731
9903.88.69,8543704500,6,45195808,0.40290322943225176,0.11085499018620722,0.25,-0.16819295698417822,0
9903.88.69,5603930090,6,44584366,0.20052089559824626,0.1924201403384103,0.25,0.9675969789606561,0.9675969789606561
9903.88.69,8413309090,6,43195377,0.4135177475126563,0.3545746473573792,0.25,0.7642275993788917,0.7642275993788917
9903.88.69,8205513030,6,41991899,0.3427754958164669,0.24267193786365232,0.25,0.5995857681887417,0.5995857681887417
9903.88.69,9005100040,7,41235398,0.22002292787376515,0.22090319020034568,0.15,1.0058684155105369,1
9903.88.69,8501312000,6,41120655,0.3179508692164558,0.2097346050338002,0.25,0.5671349432693775,0.5671349432693775
9903.88.69,8516290090,6,41068701,0.3920303688202848,0.23933422360173953,0.25,0.3892154191258188,0.3892154191258188
9903.88.69,0304725000,6,39927757,0.18297459083414078,0.1863587343451801,0.25,1.0135365740441573,1
9903.88.69,8414596560,6,39864653,0.3859758668914038,0.14854782850334525,0.25,0.050287846447765926,0.050287846447765926
9903.88.69,8483509040,6,37782369,0.4554116233420938,0.20084468157265903,0.25,-0.018267767077739024,0
9903.88.69,8534000040,6,36052033,0.3511922337361668,0.1958902131485768,0.25,0.3787919176496398,0.3787919176496398
9903.88.69,6506106045,7,35014718,0.2485202365473856,0.21085034845034242,0.15,0.7488674126863789,0.7488674126863789
9903.88.69,8536507000,6,33932121,0.4001627543412332,0.19889055118515667,0.25,0.19491118737569382,0.19491118737569382
9903.88.69,8501538040,6,29836842,0.554129421605678,0.23397978130236635,0.25,-0.28059856121324633,0
9903.88.69,8414596540,6,27024623,0.5650966157788769,0.6257394432547856,0.25,1.242571309903635,1
9903.88.69,8481909040,6,26281069,0.4450628701595053,0.2020897038406451,0.25,0.028107334724559153,0.028107334724559153
9903.88.69,9018120000,6,26170290,0.24907901288063677,0.17398641327354689,0.25,0.6996296015716406,0.6996296015716406
9903.88.69,9018903000,6,23720553,0.2278370997505834,0.2003984860924697,0.25,0.8902455453675453,0.8902455453675453
9903.88.69,6302100020,7,22862310,0.3215836457470833,0.27960077013631773,0.15,0.7201141625948961,0.7201141625948961
9903.88.69,8425310100,6,21461360,0.23820098073933804,0.08649728792761016,0.25,0.39318522875308837,0.39318522875308837
9903.88.69,9404901060,7,20961173,0.3110907963022871,0.2693662305880633,0.15,0.7218362285718413,0.7218362285718413
9903.88.69,2929905095,6,20500755,0.22701944391804108,0.1031925990094395,0.25,0.5046926203655937,0.5046926203655937
9903.88.69,6909112000,6,19290364,0.40825160168050745,0.1932087724015497,0.25,0.1398286828841691,0.1398286828841691
9903.88.69,6506106030,7,19022938,0.19476560350456906,0.19607867640033913,0.15,1.008753819305134,1
9903.88.69,3906905000,6,19007716,0.3660700212482131,0.128388428445134,0.25,0.04927362878768367,0.04927362878768367
9903.88.69,8529901300,7,18242975,0.19866118327739857,0.09695561879364002,0.15,0.32196290344160966,0.32196290344160966
9903.88.69,8543709100,6,18236169,0.4054849458787095,0.10639523016567999,0.25,-0.19635886285211812,0
9903.88.69,8501104020,6,18212874,0.25697229333492344,0.2221482965340398,0.25,0.8607040127964655,0.8607040127964655
