country_name,cty_code,total_imports,pdr (Paddy Rice),wht (Wheat),gro (Cereal Grains Nec),"v_f (Vegetables, Fruit, Nuts)",osd (Oil Seeds),"c_b (Sugar Cane, Sugar Beet)",pfb (Plant-Based Fibers),ocr (Crops Nec),"ctl (Bovine Cattle, Sheep And Goats, Horses)",oap (Animal Products Nec),"wol (Wool, Silk-Worm Cocoons)",frs (Forestry),fsh (Fishing),coa (Coal),oil (Oil),gas (Gas),oxt (Other Mining And Extraction),cmt (Bovine Meat Products),omt (Meat Products Nec),vol (Vegetable Oils And Fats),mil (Dairy Products),pcr (Processed Rice),sgr (Sugar),ofd (Food Products Nec),b_t (Beverages And Tobacco Products),tex (Textiles),wap (Wearing Apparel),lea (Leather Products),lum (Wood Products),"ppp (Paper Products, Publishing)","p_c (Petroleum, Coal Products)",chm (Chemical Products),bph (Basic Pharmaceutical Products),rpp (Rubber And Plastic Products),nmm (Mineral Products Nec),i_s (Ferrous Metals),nfm (Metals Nec),fmp (Metal Products),"ele (Computer, Electronic And Optical Products)",eeq (Electrical Equipment),ome (Machinery And Equipment Nec),mvh (Motor Vehicles And Parts),otn (Transport Equipment Nec),omf (Manufactures Nec),ely (Electricity),s232_pharma_imports (131 HS codes)
Mexico,2010,489351557523,0,323195,10890852,19706184473,22388795,923048,2037960,509645411,1309007929,92718503,9065,134122462,203208090,2912,10513729586,1620331,485409052,1906424101,254341195,631542230,218155461,11937168,424399494,10654833412,12929227866,2575925271,3258524236,1017976979,693360094,2505112702,4904038423,7973424757,1013341322,11200612169,4586424389,4401023043,7882532004,9819468967,89580189578,63397387516,49447996161,134289059232,4271596116,26510481973,0,562236722
China,5700,419594576206,0,0,1341279,397733589,21000694,7977,350721,274602862,0,204830542,23796,40331561,15875189,9715039,0,188201,347817105,219363,8837355,70819564,2169591,56468571,2489868,4657183989,198117972,12874271571,19186254437,12715889259,2134601700,5223044469,422166376,14021067804,10487680970,19896412471,6247988617,1534872102,1895379479,20185929956,122768437016,58495601512,33095058426,14965776249,4243275102,52890743862,0,2094286840
Canada,1220,392351171314,48865,698108933,567907165,3239531459,554171456,14404650,147418,1032361501,1796171125,858842408,153507,205928248,1378278018,196010516,96406151105,5272149629,1434844803,2777964645,1954354323,6171116798,272539246,26354966,359160192,20682084990,1872420476,1030740449,713261406,155526861,11093152767,10256671527,19808600456,24262072448,5329721936,11333354147,2699301091,9233306219,23075262368,8369746500,7453682677,9112397697,20583180259,52094035230,15373332726,10312902470,2289715638,2052053656
Germany (Federal Republic of Germany),4280,149899400959,0,7259248,39688624,3819366,3994255,6702,249741,85198076,267197511,23658181,0,6945526,243027,94768,0,0,20691288,1150042,13983528,43561457,79541916,83678,3554653,1713578736,347135973,686385494,32363934,459936201,754153539,1132561208,1005229449,10519426584,17021248696,2677785315,1245937808,2177145767,3024540048,4087363024,13154769752,8228373412,29473164019,35490752773,9100499616,6966128024,0,10655301546
Japan,5880,143594793014,3472,0,51487,11019417,240598,0,107462,58914518,12195235,5972988,0,443135,73985598,0,0,0,35637932,72174190,118515,67928958,6367930,16010963,355886,951019933,252844061,509157117,96158818,18921225,37806592,254395137,356344062,8321845566,6418299240,3386157661,1099592518,1877006378,1168377735,2561412643,13026027392,11048328159,31876912449,51831568127,4924202703,3216887214,0,4711047275
Vietnam,5520,139275271003,0,0,219257,1000307861,660319,1560864,755515,647565715,0,131268816,0,2228452,5322216,0,0,0,20512660,0,4169106,112052367,302696,27912803,19559,2819891172,55593316,1213269278,15613452125,10200492074,1143355647,942279689,1541703,424308059,67964357,4901008562,1060595599,1277153481,275454690,2326168559,61961229983,9840174147,5577761378,721121453,546405846,16351191679,0,3461672
South Korea (Republic of Korea),5800,128337686302,0,0,431275,67353924,230565,0,7814,11533804,510000,2067968,0,275184,60972432,4960,0,0,17604025,0,6686505,10008118,29586028,5356774,1143586,1388095513,180742733,1005970824,191888380,61703481,12281015,780625592,5163577543,9587947819,3176875508,3477551646,576177576,3288903161,2323596921,3384934828,19548932929,11316924963,15299964776,44744527320,836717294,1775973518,0,2876659136
Taiwan,5830,112806321623,0,0,177454,3665496,997632,0,24211,79386070,0,12039563,0,569297,7313404,0,0,0,809538,0,69376,18634148,3823159,4535535,2090801,691414339,64038773,579640264,162536269,109295944,49671919,301418725,407389810,2477710381,436560680,2421776091,393125138,1494257717,305286789,5619314458,77895239747,6050876235,5849717014,2039118235,1740246173,3583551238,0,139542530
Ireland,4190,92208399352,0,0,0,2593,0,0,3231,285172,122592696,5744197,0,88700,8563967,14035146,0,0,41401562,26794330,25045172,3922024,689028163,0,0,329694242,562024039,27233461,5333779,884656,11219863,23390056,22579545,6047590251,70794943921,114043392,20537214,2162523,10970871,50831237,4685467796,458585402,1039838486,11761934,50932926,7000866805,0,62043011034
India,5330,86254306967,11289,6517,4291927,144462788,64802769,39916,36277858,427452488,0,151246796,12429,51358264,7168121,9920,0,0,88176173,174821,97200,188061320,32735459,378530882,12309237,4163524278,97440676,5747725562,5074012251,958716547,314319909,576635717,3109969054,4732210033,13323617558,2021340483,2560164080,1180495777,701193659,3229120067,11295929096,3386210501,6358013076,2577986156,663729944,12594726369,0,4648171046
Italy,4759,71719566333,0,869870,527361,96828338,352697,0,91138,9533301,561433,10346160,109643,13520216,485405,6426,0,0,30099870,0,288025007,1172020586,564529911,16910289,101786,3157143540,3216093968,544577625,2424876530,3575166911,172692080,474935586,1214592390,3695316316,11569707035,1053442309,1674531586,1106103929,809056501,2197267898,1778685459,3349382420,13037997664,5042404514,2558038606,6862634029,0,5728630683
United Kingdom,4120,62365877417,0,84132,338660,2998452,418497,0,126165,12530247,100531238,28188945,119073,2191281,166406183,4347885,922611505,0,55902449,8929497,28665121,19239261,90201796,682789,347305,562423934,1717169506,334247691,147335543,77777731,22132994,721073580,2209174471,4758905000,7542282665,997835252,331200286,562024141,1217138467,1378057445,4237459298,2380959150,9625701627,11219206705,6651134482,4227776968,0,4396630352
Thailand,5490,62173458635,0,0,33837,132261318,4056668,58150,19282,33159472,0,69051723,0,9159528,7126608,0,0,0,2425699,0,62587,4791119,4804295,789183338,18391577,3566772461,86284509,419605309,922814672,451969948,214005128,148114836,27585256,850466258,53188966,6072257587,620876233,355450917,669931422,1305316354,27337841528,7193290200,4705643931,1695949681,635908981,3765599257,0,16232078
Switzerland,4419,57467557468,0,0,0,16502,0,0,0,1342432,2701082,300469,0,58437,382135,0,0,0,1767899,0,0,2893560,129680755,0,235970,1531535201,156056827,69980582,31000606,45374469,15671382,96196981,9329433,1793039667,19959780904,254136002,88126254,27700088,2175924557,582048389,8982973722,1349509253,3491861649,65425356,1064650175,15537856730,0,12923098841
France,4279,55645871936,0,17979654,5339082,42131917,3601801,80094,193197,17283688,22854072,21923545,15042,66570769,6068571,0,0,0,18749700,4958429,7568269,75838386,369981571,9666,834548,1226357639,4731843088,216732775,379696048,1470633511,305791277,345039107,911043086,8304843395,4370999516,974706542,545059172,429745648,767503017,937752128,2792616632,2369836526,5490619893,963867588,11591660504,5837542843,0,1720306635
Malaysia,5570,49426719852,0,0,13357,1671550,0,0,35699,1699721,0,579260,0,187859,1249203,0,0,8500,547725,0,0,299275884,1802608,0,39143,618312818,25760038,58977141,198002987,7899227,321595315,205014764,93485278,829102827,140196740,2035897178,316660110,297795592,255471910,447263840,30793662321,4673940704,4346999512,143393814,724236569,2585940658,0,112529044
Brazil,3510,39964607537,0,0,29639762,156235794,58706017,1467626,458004,1921608894,6249123,207042000,0,2041752,56814389,0,5424581619,0,506437264,855967685,533543255,442229625,46113639,19919786,804001730,2035656975,495824331,48200578,24070326,320448659,1543755015,2040708737,3241257181,1908667676,196670000,550499548,971251581,4980560403,1355681080,682757643,245979345,1234202401,2917030151,841874288,2198456207,1057997448,0,88463267
Singapore,5590,37662646919,0,0,0,91891,0,0,266,2049405,0,28330,0,236133,8476073,0,29381569,0,592900,0,0,9417559,419260,0,0,2805172398,1647099,4653234,2192228,1278947,1368956,22957183,1925959451,2092983016,17793487868,277672722,97680299,5559485,169026161,88770186,4603464389,836450844,3170652277,49218972,510928537,3150829281,0,16932553436
Netherlands,4210,29202065730,0,0,174222,155338298,11386634,0,1670526,254754033,99238567,41193642,99567,5155268,18363573,37972,0,0,38410825,30369490,44714712,30822345,165796032,870178,19392,1277246984,1128660697,267335372,4161984,17997706,77913211,202608396,4191329460,3778801273,7017183580,295485483,95955416,832629928,159838284,454384342,1910006210,720850962,4275911030,358066995,676962864,560320277,0,5920552340
Indonesia,5600,27571731505,0,0,0,7896216,0,18200,5918,400452800,0,21302926,0,2111797,27475085,0,0,0,1434507,0,136173,1985763070,0,61125,1504728,2756563282,264981075,255274960,4403002086,3289812094,740162823,506213855,47697421,1248578419,16905395,1988301418,128256562,152582577,168945612,214429421,2514288696,2651649045,674354154,183752238,154435690,2763382137,0,0
Belgium,4231,25068586113,0,31445,175884,3507652,3503,0,7870,7462303,77034367,15380651,8074445,120250,146217,0,0,0,11569610,93488,2378212,6290379,13925615,0,4247889,1012215723,51944437,169062726,4481933,6389000,67874003,84864644,962871206,2415661364,12365526125,247707619,140251005,351996863,888304633,198320279,463794923,303210438,1333452751,1413190700,267569169,2169446792,0,9667368163
Israel,5081,21660926322,0,3332,63495,65028333,5372732,7264,605,20948721,48308,5332653,0,7508808,1961534,0,0,0,41198763,0,13492082,45050317,13840781,92389,208154,285303112,52962132,239408320,42830072,26766699,3632585,112385930,182622065,1166358580,1747082178,610684199,65164755,59277807,140182173,515045224,7726893720,547198284,1013001402,78676790,904194256,5921097768,0,516560254
Spain,4700,20304780507,0,0,1178969,129585602,6417581,0,120561,48367224,3459527,21896923,95265,2074651,90992145,0,0,0,144731906,9766541,114958238,1344721205,170536189,9421598,0,1493404867,459226679,109622434,93030619,411731868,153988854,359744724,1406522662,2180079331,2369333970,574404657,1034817191,458924179,202345153,872967222,381382516,1509306896,2080512213,556572314,596704051,901833982,0,924353805
Colombia,3010,17552687779,0,0,40335,526311376,73130,22140,2163,2725630404,485766,31768897,0,37980163,38795017,127945344,5691568292,1659624,66934020,68516,0,34884425,5590655,41325,141635252,778188817,19129235,102378512,221300121,26960664,9444831,106506529,1984333312,704556704,9111900,241159670,185633345,169504214,1927290429,647943601,71196223,374480233,56245757,21162705,6624261,458099872,0,34617
Sweden,4010,17346217606,0,0,3723030,448184,0,0,0,4929596,2674310,84110,3896,39576850,4940476,0,0,0,24186686,0,0,7741069,733731,0,0,55782030,260995488,41988982,3470327,5596867,307758436,721731604,344010260,1251356612,2355143067,210125320,47661048,565749597,282774661,547211984,1161781079,756922299,2940066050,4202382251,555784004,638883702,0,1503608188
Austria,4330,16972586499,0,0,233100,278100,244202,0,0,2619919,87954,846235,0,51920,0,0,0,0,2743798,0,0,2560976,9558545,0,81142,147711784,217438213,105285566,7265886,21464427,172211787,121620604,1852154,437012153,3543933704,232812718,212771354,607192934,325822475,850079747,1107065261,942383596,3722571690,2872581535,658493372,645709648,0,1762707174
Chile,3370,15989854918,0,0,44775294,1947033389,29258956,0,0,28375861,7820500,2229819,0,2033315,136143883,0,0,0,182334585,8158449,252122881,53262407,49772521,0,2671190,3578530710,159393015,14215471,9289739,272562,1046132808,91575942,146752057,744692675,7440770,380098707,27576993,179478451,6620412655,28879337,11275492,30509334,77026443,64569113,18053847,7685747,0,5834245
Turkey,4890,15931925959,0,16632,4823029,103713182,52860476,0,5185,116468231,50000,21628650,2600,1983703,58459302,0,0,0,82364978,0,127065,321425342,32205983,2657548,332068,1265759683,60335694,1659031673,973370360,59950220,62620386,206938162,1109748825,603470141,64464335,643191302,1221568957,396046176,278646958,1129275503,305443676,1008276443,1389858897,825611159,865833367,1003360068,0,51627914
Australia,6021,15431611956,0,0,222332,43424831,18036021,0,66598,30907730,18397356,102622602,50233,1088817,39236849,0,0,0,617025671,4020129532,49804087,199795543,22089862,687719,81204714,496669543,272518402,35423958,16775590,10717640,9123554,82664622,28689520,479885353,1404404137,97329748,46182616,385540534,1744356257,154251366,736295715,248690827,588599696,109972974,488789188,2749940219,0,147955556
South Africa,7910,14427042339,0,0,2059471,218706385,175633,0,33859,14125979,1742734,1572004,1914,2246865,15975530,0,0,0,287237310,2037,0,1850978,33111371,0,33034707,203425965,71453291,17889468,9884463,18872672,10518179,34548249,48740531,632926988,26054458,69664509,39266698,648959568,4635993623,49103295,91360357,62553379,251409805,2568123600,140703284,4183713180,0,3880933
Philippines,5650,13415580336,0,0,0,74984588,1000513,0,73154,2696365,0,2926016,0,1447739,15682042,0,0,0,174495,0,0,620208019,1965555,13491,17105277,571264019,152271458,40044819,484150884,510902865,52940501,28803202,70513,102565550,5672347,337380791,65451956,12230341,4188156,195283033,6047652974,2818051891,682229798,75120054,104551986,386475944,0,0
Poland,4550,12845914477,0,37494333,5562168,2969562,352576,0,2991,7677788,950470,18701691,0,283178,0,0,34667,0,1704159,0,91757639,3146689,10612846,29636,7931821,676286880,89831970,44468199,50945552,12590081,122259632,85520482,34393733,486067755,56361588,554167687,171247753,67379151,329498039,466506025,1271958068,1855074824,2196393289,1025507498,1806464882,1253779175,0,42280121
Cambodia,5550,12660132491,0,0,0,6099009,0,0,0,32943,0,30419307,0,0,0,0,0,0,67412,0,0,0,0,3912990,22826,95123497,0,178714041,4075560618,2752174954,377960813,106623491,0,28430318,2778681,1137474336,34244842,8638571,2861,96620936,1518514313,1037150495,35494200,7485393,207942489,918643155,0,62056
Saudi Arabia,5170,12308522990,0,0,0,7487155,0,0,0,120045,12000,167685,0,0,225000,0,7027683437,0,32328142,0,0,933653,440347,0,0,22074771,2615904,113397925,112598,35758,27033,5314990,3141044507,1599147715,10999878,16840032,28961794,15196036,202505013,14932315,3290681,15012665,33258270,1573684,9994691,2789266,0,54279
Hungary,4370,12082718152,0,0,0,1789919,1588846,0,0,413345,245312,23844687,0,31820,0,0,0,0,396562,0,12111180,21963965,0,0,0,19668375,4266038,41725999,13503375,34634101,6206332,24460103,286748,276514796,4357330531,267921612,73060012,504624,99309364,100922224,1122835578,2036660537,1228950949,2045116666,32382524,234072028,0,21143491
Costa Rica,2230,10411176561,0,19525,0,1408221546,170559,71160,0,228028423,36000,1425262,0,5494373,39292061,0,0,0,5736127,70942301,0,139259,1204048,0,93617242,357444455,4669725,16654816,27029652,12976225,2906560,13896330,170548,40454431,17666471,366380175,28188968,4352463,142118226,45071283,2209575074,354406789,31982787,33280423,5951788,4841601486,0,2774740
"Denmark, except Greenland",4099,9457181893,0,0,0,12733718,0,0,0,12891659,4296966,5818160,0,292550,2173584,0,0,0,3829567,13011650,162864892,19769161,62956979,0,0,376095835,121013402,37878538,3164907,6825390,11746753,40880692,66085204,615128747,2870783172,156623672,26860545,9568537,10868986,435278218,1627014570,366154092,1552771602,122621116,93876673,605302356,0,1322631929
Peru,3330,9448076874,0,134757,76760508,2966788747,19245428,0,0,528877793,38800,3671798,50918,573591,3406677,8484719,48289651,0,813302236,0,345738,96941740,13197994,94010,78468218,985425747,9867822,69995607,829556927,5546238,10566337,6008405,535000952,109702720,6341914,114089360,85715604,1082141,1616440039,18012541,2379968,41993212,33510069,34595338,1956290,271616320,0,5200800
Ecuador,3310,8366169244,0,0,817299,731096230,99284,0,0,987850236,34000,2172605,0,15170019,64788826,0,3633701414,0,4934668,5292,118460,16247293,657179,121824,18103723,1936185446,5109765,1998312,8392756,640425,112448023,12712812,109137716,17405333,227780,54815142,11336314,358317,515457553,8107796,2395272,69877442,11243914,1261537,910399,10228838,0,32651
Bangladesh,5380,8344694026,0,0,0,358915,0,0,1074460,1011118,0,1484856,0,0,1581610,0,0,0,0,0,0,231836,290985,1435221,250926,32648835,12494148,203747124,7457015279,349379851,3257879,4794750,0,1978312,20562984,18105617,5593082,0,0,4162191,2811908,6813899,3975552,271179,4106667,205254842,0,5917741
Slovakia,4359,8076518587,0,0,0,27998,311000,0,0,1515135,629668,1323713,0,222624,0,0,0,0,1319797,0,0,0,0,0,0,1039206,624756,7503781,16297397,26542496,2401111,21322027,80848,22002807,6813081,327994564,48839763,21968695,13318308,45594485,165909311,305325613,574757889,6384444874,3271856,75115784,0,4416245
Finland,4050,8029082355,0,0,0,0,0,0,0,1465351,16412,463256,2623,127266,4959,0,0,0,3687164,0,1709257,443253,15456093,0,138085,10379495,4633063,35622045,1486149,1277986,101714721,1164186831,862132801,405204839,1570069497,109360801,49159654,303487676,253113217,134355964,623611872,473949141,1370706437,265014948,153135805,112965694,0,992489029
Iraq,5050,7568701717,0,0,0,6920,0,0,0,61952,0,0,0,4005,0,0,3944716963,0,87987599,0,0,56380,0,73630,16764,952859,595689,32702,20078,0,0,13598353,3487406107,29578122,0,1025,6774,0,0,12525,176094,89543,505084,2324,0,2800225,0,0
Argentina,3570,7475005584,0,1004007,36793950,224952797,91375019,0,0,62165271,9239993,139974126,0,7251733,733657,0,1405154536,4598829,20622988,221725855,3378284,345251177,27710940,25102825,111248112,731372282,219778512,1944604,2038709,11384969,101679630,18256040,949865104,355120787,677443352,23016434,2285532,128281880,1269136982,24445350,8258330,14906797,103253740,49030135,12797140,32425176,0,658215214
Czech Republic,4351,7405659151,0,0,0,7096,87819,0,5974,5233140,1000598,2697463,73816,11920,242172,0,0,0,754369,0,0,13034,380915,0,54756,59664138,11367306,88913726,5845867,6156997,46095302,113509452,16227686,244433251,232669341,502554776,113835985,111635719,43332623,392389214,1557665511,906494261,1878660198,264638261,234793950,564212515,0,78916333
Dominican Republic,2470,7163303467,0,41791,0,156886388,9120,336184,254670,161475209,3000,1154515,0,389171,965614,0,0,0,7540379,1431974,0,7469941,1945559,0,166119987,252424470,1097009000,136925027,612329656,158984447,1500366,75597432,901730,84699177,51835148,326270513,16193915,31336434,234931978,94018643,284458397,984896718,157077251,28623686,1910809,2025355168,0,470379
Portugal,4710,6466962472,0,0,0,768545,0,0,3441,528113,2623852,439992,2678415,1568150,3251114,0,0,0,9460911,1931840,298427,41863227,4444825,19044,20741,105884723,125186692,271705415,418282380,230551928,232939829,97692711,1041761434,157531742,1752439911,462973266,163790704,72208322,2662063,291918132,317176435,184570991,230302329,23324800,42573591,171584437,0,1355819177
Slovenia,4792,6241696952,0,0,0,230000,0,0,0,292209,64806,204937,0,0,0,0,0,0,130625,0,0,313613,21854734,0,0,5381361,21918758,20631329,4114857,2921154,7284335,20005146,34521,55626070,5162898999,28572121,32840554,93451975,41776414,40710034,102688364,168835935,243289151,26344078,43651871,95629001,0,1172900616
Nigeria,7530,6083391964,0,0,58325,9196122,7302377,0,0,43533857,0,349867,0,808543,325559,0,4490255866,359921538,7167397,0,0,30837913,12054,27719,0,20238392,1624043,3783240,638330,896405,66289,253199,797961712,178708088,64297,27978763,34530,0,78174329,80717,435052,318078,624914,142523,176000,21395926,0,0
Norway,4039,6023302128,0,0,0,0,0,0,523,0,588509,848923,0,88297,219475168,0,297967038,90730011,10206062,0,807639,127715072,3660190,0,28562,1140839753,3607443,9348405,1898491,471151,2854208,85368777,1154987179,580693972,365510843,22380190,10487734,127120525,441577040,96918303,367953629,177034272,282618395,29893451,218308570,151313803,0,958155
United Arab Emirates,5200,5871800732,0,0,0,8441397,0,0,653,8543177,108451,508209,0,495287,817060,0,863668853,0,13088573,0,0,18032559,2483923,1254527,20533,74685064,27134623,59269449,12336019,9044125,1942855,98493371,809333582,751069185,3606055,83791173,198682573,318246804,938716634,479865624,87568734,199676386,287792659,56302225,63237987,393542403,0,2441065
