country_name,cty_code,total_imports,pdr (Paddy Rice),wht (Wheat),gro (Cereal Grains Nec),"v_f (Vegetables, Fruit, Nuts)",osd (Oil Seeds),"c_b (Sugar Cane, Sugar Beet)",pfb (Plant-Based Fibers),ocr (Crops Nec),"ctl (Bovine Cattle, Sheep And Goats, Horses)",oap (Animal Products Nec),"wol (Wool, Silk-Worm Cocoons)",frs (Forestry),fsh (Fishing),coa (Coal),oil (Oil),gas (Gas),oxt (Other Mining And Extraction),cmt (Bovine Meat Products),omt (Meat Products Nec),vol (Vegetable Oils And Fats),mil (Dairy Products),pcr (Processed Rice),sgr (Sugar),ofd (Food Products Nec),b_t (Beverages And Tobacco Products),tex (Textiles),wap (Wearing Apparel),lea (Leather Products),lum (Wood Products),"ppp (Paper Products, Publishing)","p_c (Petroleum, Coal Products)",chm (Chemical Products),bph (Basic Pharmaceutical Products),rpp (Rubber And Plastic Products),nmm (Mineral Products Nec),i_s (Ferrous Metals),nfm (Metals Nec),fmp (Metal Products),"ele (Computer, Electronic And Optical Products)",eeq (Electrical Equipment),ome (Machinery And Equipment Nec),mvh (Motor Vehicles And Parts),otn (Transport Equipment Nec),omf (Manufactures Nec),ely (Electricity),s232_pharma_imports (131 HS codes)
Tunisia,7230,1115501215,0,0,0,24148478,0,0,0,332288,0,33000,0,3531,1963604,0,0,0,1663188,0,0,474820130,0,0,0,15743020,437996,4767267,93375157,12885080,5858576,1298730,16486680,70787358,9895,25734883,8699716,35075,9773716,10545670,61940122,138020047,55241943,16432861,37457578,27005626,0,0
Bahrain,5250,1091142772,0,0,0,0,0,0,0,0,60000,8890,0,0,0,0,0,0,0,0,0,0,5438687,0,0,3294881,21809,53774901,1097102,11862,5861,762062,201628863,523860,0,36265654,25850702,58099,615941904,86396217,1520723,115415,2086417,252550,116500,55909813,0,0
Iceland,4000,1062685856,0,0,0,0,0,0,0,0,220180,442750,0,0,54970552,0,0,0,2872967,137191,0,26627451,171416,0,0,294343351,35916927,1218852,97505,35050,20963,443037,0,15617051,301262123,1418738,165964,32518206,66195,622216,25553806,2851632,12316879,186158,790186,251798510,0,288483959
Estonia,4470,1044267441,0,0,2159269,31801,0,0,337196,38053,13503,285135,0,2959595,41140,0,0,0,7368885,0,0,11604,3656266,0,0,16392978,2140353,6933964,2473912,185544,75217984,954881,57896,71154919,306340,8612452,875444,1334362,19583481,14847018,564334701,93872652,67955118,6404778,3426610,70299607,0,286743
Cote d'Ivoire,7480,1009788374,0,0,0,52741296,0,0,0,333863475,0,26211,0,1820568,0,0,0,0,0,0,0,2453,2471,0,0,427691732,4200,48235,58169,14259,6265988,5577,0,3657890,94000,175562947,17443,0,0,74593,74563,1522044,764450,1802587,2960,3670263,0,1849497
Croatia,4791,983498831,0,0,0,1964974,0,0,0,2476863,0,865012,0,0,1022149,0,0,0,52490,0,554263,793388,176774,0,74833,83321947,3013385,267527,6857289,12371933,5065293,1315987,0,31093746,347578439,13409379,10352689,242994,6613145,135369840,31147717,171473203,82278117,11409504,6273868,16062083,0,163546111
Bahamas,2360,815392805,0,0,0,0,0,0,0,0,9000,615779,0,0,681123,0,0,0,47304700,0,0,0,0,0,0,101720940,30444,7130,24684,15762,0,49940,598685277,54459739,3000,37597,10785,359437,5002681,219026,594290,226912,1366991,283572,487355,3196641,0,0
Laos (Lao People's Democratic Republic),5530,805809416,0,0,0,0,0,0,0,206200,0,54360,0,12968,0,0,0,0,23643507,0,0,0,0,140911,0,3171,161842,2082461,53659908,22509184,529471,171062,0,18957784,0,965696,123716,0,410439,77852,538077600,8379342,164427,0,74200,135403315,0,0
Serbia,4801,774645662,0,0,0,1053774,3315,0,0,855293,0,1234790,0,0,0,0,0,0,21206,0,0,423438,75861,15541,0,92068842,2335222,2893790,8080051,2773615,1420072,3714768,0,6425781,17330,191212136,37082488,2667200,17603714,106481567,25616538,101044054,91174127,49197130,10336191,18817828,0,0
Madagascar,7880,727121365,0,0,0,2161565,0,0,0,106700974,0,348156,0,384541,205763,0,0,0,68503763,0,0,10543,0,0,0,9855219,0,584470,358342264,4395590,8259734,18507,129200,7187581,34364,84567,557120,0,90115902,321569,113569,0,110263,18489,0,68677652,0,0
